datetime,Heating Setpoint (New),Cooling Setpoint (New),Heating Deadband Up,Heating Deadband Down,Cooling Deadband Up,Cooling Deadband Down
 09/11  0:55,10,35,0.4,0.6,0.4,0.6
 09/11  0:56,10,35,0.4,0.6,0.4,0.6
 09/11  0:57,10,35,0.4,0.6,0.4,0.6
 09/11  0:58,10,35,0.4,0.6,0.4,0.6
 09/11  0:59,10,35,0.4,0.6,0.4,0.6
 09/11  1:00,10,35,0.4,0.6,0.4,0.6
 09/11  1:01,10,35,0.4,0.6,0.4,0.6
 09/11  1:02,10,35,0.4,0.6,0.4,0.6
 09/11  1:03,10,35,0.4,0.6,0.4,0.6
 09/11  1:04,10,35,0.4,0.6,0.4,0.6
 09/11  1:05,10,35,0.4,0.6,0.4,0.6
 09/11  1:06,10,35,0.4,0.6,0.4,0.6
 09/11  1:07,10,35,0.4,0.6,0.4,0.6
 09/11  1:08,10,35,0.4,0.6,0.4,0.6
 09/11  1:09,10,35,0.4,0.6,0.4,0.6
 09/11  1:10,10,35,0.4,0.6,0.4,0.6
 09/11  1:11,10,35,0.4,0.6,0.4,0.6
 09/11  1:12,10,35,0.4,0.6,0.4,0.6
 09/11  1:13,10,35,0.4,0.6,0.4,0.6
 09/11  1:14,10,35,0.4,0.6,0.4,0.6
 09/11  1:15,10,35,0.4,0.6,0.4,0.6
 09/11  1:16,10,35,0.4,0.6,0.4,0.6
 09/11  1:17,10,35,0.4,0.6,0.4,0.6
 09/11  1:18,10,35,0.4,0.6,0.4,0.6
 09/11  1:19,10,35,0.4,0.6,0.4,0.6
 09/11  1:20,10,35,0.4,0.6,0.4,0.6
 09/11  1:21,10,35,0.4,0.6,0.4,0.6
 09/11  1:22,10,35,0.4,0.6,0.4,0.6
 09/11  1:23,10,35,0.4,0.6,0.4,0.6
 09/11  1:24,10,35,0.4,0.6,0.4,0.6
 09/11  1:25,10,35,0.4,0.6,0.4,0.6
 09/11  1:26,10,35,0.4,0.6,0.4,0.6
 09/11  1:27,10,35,0.4,0.6,0.4,0.6
 09/11  1:28,10,35,0.4,0.6,0.4,0.6
 09/11  1:29,10,35,0.4,0.6,0.4,0.6
 09/11  1:30,10,35,0.4,0.6,0.4,0.6
 09/11  1:31,10,35,0.4,0.6,0.4,0.6
 09/11  1:32,10,35,0.4,0.6,0.4,0.6
 09/11  1:33,10,35,0.4,0.6,0.4,0.6
 09/11  1:34,10,35,0.4,0.6,0.4,0.6
