datetime,Heating Setpoint (New),Cooling Setpoint (New),Heating Deadband Up,Heating Deadband Down,Cooling Deadband Up,Cooling Deadband Down
 01/03  01:29:00,21.6703565,30,1.5,1.5,1.5,1.5
 01/03  01:30:00,22.02061333,30,1.5,1.5,1.5,1.5
 01/03  01:31:00,22.59807062,30,1.5,1.5,1.5,1.5
 01/03  01:32:00,23.14719875,30,1.5,1.5,1.5,1.5
 01/03  01:33:00,22.99671772,30,1.5,1.5,1.5,1.5
 01/03  01:34:00,22.52542903,30,1.5,1.5,1.5,1.5
 01/03  01:35:00,22.02181085,30,1.5,1.5,1.5,1.5
 01/03  01:36:00,21.6688835,30,1.5,1.5,1.5,1.5
 01/03  01:37:00,21.98586699,30,1.5,1.5,1.5,1.5
 01/03  01:38:00,22.57143703,30,1.5,1.5,1.5,1.5
 01/03  01:39:00,23.14205986,30,1.5,1.5,1.5,1.5
 01/03  01:40:00,23.1663167,30,1.5,1.5,1.5,1.5
 01/03  01:41:00,22.76779791,30,1.5,1.5,1.5,1.5
 01/03  01:42:00,22.26801795,30,1.5,1.5,1.5,1.5
 01/03  01:43:00,21.81954154,30,1.5,1.5,1.5,1.5
 01/03  01:44:00,21.66937082,30,1.5,1.5,1.5,1.5
 01/03  01:45:00,22.08480114,30,1.5,1.5,1.5,1.5
 01/03  01:46:00,22.69248344,30,1.5,1.5,1.5,1.5
 01/03  01:47:00,23.15437752,30,1.5,1.5,1.5,1.5
 01/03  01:48:00,22.97672553,30,1.5,1.5,1.5,1.5
 01/03  01:49:00,22.52418999,30,1.5,1.5,1.5,1.5
 01/03  01:50:00,22.05357213,30,1.5,1.5,1.5,1.5
 01/03  01:51:00,21.66705878,30,1.5,1.5,1.5,1.5
 01/03  01:52:00,21.9823286,30,1.5,1.5,1.5,1.5
 01/03  01:53:00,22.58826845,30,1.5,1.5,1.5,1.5
 01/03  01:54:00,23.151663,30,1.5,1.5,1.5,1.5
 01/03  01:55:00,23.03388072,30,1.5,1.5,1.5,1.5
 01/03  01:56:00,22.60180932,30,1.5,1.5,1.5,1.5
 01/03  01:57:00,22.13389032,30,1.5,1.5,1.5,1.5
 01/03  01:58:00,21.73378863,30,1.5,1.5,1.5,1.5
 01/03  01:59:00,21.66830744,30,1.5,1.5,1.5,1.5
 01/03  02:00:00,22.13058492,30,1.5,1.5,1.5,1.5
 01/03  02:01:00,22.65417728,30,1.5,1.5,1.5,1.5
 01/03  02:02:00,23.05758143,30,1.5,1.5,1.5,1.5
 01/03  02:03:00,23.16385615,30,1.5,1.5,1.5,1.5
 01/03  02:04:00,22.70225495,30,1.5,1.5,1.5,1.5
 01/03  02:05:00,22.04832242,30,1.5,1.5,1.5,1.5
 01/03  02:06:00,21.6743499,30,1.5,1.5,1.5,1.5
 01/03  02:07:00,21.87902291,30,1.5,1.5,1.5,1.5
 01/03  02:08:00,22.30579829,30,1.5,1.5,1.5,1.5
 01/03  02:09:00,22.71694377,30,1.5,1.5,1.5,1.5
 01/03  02:10:00,23.03722078,30,1.5,1.5,1.5,1.5
 01/03  02:11:00,23.16333557,30,1.5,1.5,1.5,1.5
 01/03  02:12:00,22.70575344,30,1.5,1.5,1.5,1.5
 01/03  02:13:00,22.03644932,30,1.5,1.5,1.5,1.5
 01/03  02:14:00,21.67523372,30,1.5,1.5,1.5,1.5
 01/03  02:15:00,21.87430125,30,1.5,1.5,1.5,1.5
 01/03  02:16:00,22.28526466,30,1.5,1.5,1.5,1.5
